"","city","state","count","city.state","lon","lat"
"1","Abbeville","AL",1,"Abbeville ,  AL",-85.2504893,31.5718352
"2","Aberdeen","NC",1,"Aberdeen ,  NC",-79.4294789,35.131547
"3","Abilene","TX",2,"Abilene ,  TX",-99.7331439,32.4487364
"4","Abingdon","MD",1,"Abingdon ,  MD",-76.2772223,39.4622357
"5","Acworth","GA",1,"Acworth ,  GA",-84.6768796,34.0659329
"6","Adams County","CO",1,"Adams County ,  CO",-104.1930918,39.8398269
"7","Addison","TX",1,"Addison ,  TX",-96.8291685,32.96179
"8","Affton","MO",1,"Affton ,  MO",-90.3331719,38.5506084
"9","Aiken","SC",2,"Aiken ,  SC",-81.7195533,33.5604168
"10","Aitkin","MN",1,"Aitkin ,  MN",-93.7102493,46.5330129
"11","Akron","OH",5,"Akron ,  OH",-81.5190053,41.0814447
"12","Alamo","TN",1,"Alamo ,  TN",-89.1172883,35.7847949
"13","Alamogordo","NM",1,"Alamogordo ,  NM",-105.960265,32.8995325
"14","Alamosa","CO",1,"Alamosa ,  CO",-105.8700214,37.4694491
"15","Albany","GA",1,"Albany ,  GA",-84.155741,31.5785074
"16","Albuquerque","NM",20,"Albuquerque ,  NM",-106.650422,35.0843859
"17","Alderwood Manor","WA",1,"Alderwood Manor ,  WA",-122.2482582,47.8104919
"18","Aldie","VA",1,"Aldie ,  VA",-77.6418724,38.9756745
"19","Alexandria","LA",1,"Alexandria ,  LA",-92.4451371,31.3112936
"20","Alexandria","MN",1,"Alexandria ,  MN",-95.3776663,45.8848164
"21","Alexandria","VA",1,"Alexandria ,  VA",-77.0469214,38.8048355
"22","Algoma Township","MI",1,"Algoma Township ,  MI",-85.6229296,43.1492928
"23","Alhambra","CA",1,"Alhambra ,  CA",-118.1270146,34.095287
"24","Allentown","PA",2,"Allentown ,  PA",-75.4714098,40.6022939
"25","Aloha","OR",2,"Aloha ,  OR",-122.8670454,45.4942838
"26","Alpine","CA",1,"Alpine ,  CA",-116.7664109,32.8350521
"27","Alton","IL",2,"Alton ,  IL",-90.1842764,38.8906038
"28","Altoona","IA",1,"Altoona ,  IA",-93.4750836,41.6435514
"29","Alvin","TX",1,"Alvin ,  TX",-95.2441009,29.4238472
